Allocation,Day,meanY,se,min(value),max(value),species
Control,0,0.69925,0.009753662,0.649,0.744,Pver
Control,2,0.68125,0.006391261,0.65,0.71,Pver
Control,4,0.692375,0.00533833,0.665,0.716,Pver
Control,6,0.693625,0.009178658,0.66,0.727,Pver
Control,8,0.714875,0.009738432,0.68,0.767,Pver
Control,10,0.71925,0.007925434,0.689,0.748,Pver
Control,12,0.702125,0.010585431,0.655,0.748,Pver
Control,14,0.715625,0.006298916,0.696,0.748,Pver
Control,16,0.694375,0.008606346,0.662,0.728,Pver
Control,18,0.691,0.010409474,0.645,0.747,Pver
Control,20,0.716875,0.007672859,0.679,0.752,Pver
Control,22,0.7325,0.008415547,0.691,0.774,Pver
Control,25,0.75025,0.010384999,0.716,0.799,Pver
Control,28,0.738125,0.008730974,0.717,0.793,Pver
Control,30,0.730125,0.011590386,0.652,0.755,Pver
Control,32,0.7385,0.005612486,0.711,0.762,Pver
Control,35,0.74125,0.005948439,0.716,0.776,Pver
Control,38,0.749375,0.013304051,0.678,0.81,Pver
Control,40,0.743875,0.012195487,0.696,0.781,Pver
Control,45,0.708375,0.006811066,0.685,0.74,Pver
Control,48,0.68175,0.00599032,0.661,0.711,Pver
Control,50,0.68325,0.006122995,0.66,0.718,Pver
Control,52,0.686,0.006273527,0.663,0.714,Pver
Control,55,0.670625,0.010692016,0.629,0.722,Pver
Control,58,0.679875,0.00885284,0.648,0.725,Pver
Control,60,0.69475,0.005687549,0.67,0.723,Pver
Fast Onset,0,0.667625,0.012790814,0.601,0.735,Pver
Fast Onset,2,0.68,0.009819805,0.64,0.73,Pver
Fast Onset,4,0.68625,0.008497374,0.658,0.734,Pver
Fast Onset,6,0.688875,0.005752135,0.669,0.714,Pver
Fast Onset,8,0.69525,0.007999442,0.66,0.733,Pver
Fast Onset,10,0.721625,0.006855492,0.691,0.748,Pver
Fast Onset,12,0.6885,0.010349258,0.625,0.711,Pver
Fast Onset,14,0.704875,0.011630375,0.659,0.754,Pver
Fast Onset,16,0.68575,0.008622541,0.642,0.725,Pver
Fast Onset,18,0.656125,0.011782914,0.601,0.716,Pver
Fast Onset,20,0.704,0.011967217,0.651,0.748,Pver
Fast Onset,22,0.677,0.017882553,0.586,0.756,Pver
Fast Onset,25,0.702375,0.013476087,0.634,0.751,Pver
Fast Onset,28,0.699625,0.018785383,0.606,0.798,Pver
Fast Onset,30,0.70225,0.011299099,0.642,0.746,Pver
Fast Onset,32,0.7255,0.015386683,0.655,0.787,Pver
Fast Onset,35,0.710625,0.014674976,0.649,0.765,Pver
Fast Onset,38,0.695375,0.023119208,0.571,0.776,Pver
Fast Onset,40,0.694875,0.035658318,0.469,0.81,Pver
Fast Onset,45,0.63825,0.023721411,0.496,0.718,Pver
Fast Onset,48,0.628875,0.027182871,0.452,0.693,Pver
Fast Onset,50,0.619125,0.025868788,0.458,0.691,Pver
Fast Onset,52,0.60175,0.030492827,0.421,0.678,Pver
Fast Onset,55,0.56875,0.031015981,0.387,0.673,Pver
Fast Onset,58,0.585,0.037332483,0.358,0.679,Pver
Slow Onset,0,0.692625,0.017762257,0.624,0.746,Pver
Slow Onset,2,0.7,0.005976143,0.68,0.73,Pver
Slow Onset,4,0.69775,0.006621798,0.661,0.719,Pver
Slow Onset,6,0.715625,0.006082579,0.688,0.734,Pver
Slow Onset,8,0.732,0.006840008,0.705,0.763,Pver
Slow Onset,10,0.70375,0.006289873,0.685,0.734,Pver
Slow Onset,12,0.72575,0.008110289,0.691,0.754,Pver
Slow Onset,14,0.71275,0.005966424,0.689,0.744,Pver
Slow Onset,16,0.7105,0.007218528,0.681,0.733,Pver
Slow Onset,18,0.675625,0.004391296,0.657,0.695,Pver
Slow Onset,20,0.709375,0.006863302,0.681,0.731,Pver
Slow Onset,22,0.711625,0.009999888,0.679,0.755,Pver
Slow Onset,25,0.73275,0.019799666,0.618,0.786,Pver
Slow Onset,28,0.726625,0.014080049,0.655,0.767,Pver
Slow Onset,30,0.72275,0.013808318,0.648,0.772,Pver
Slow Onset,32,0.723,0.011824611,0.673,0.764,Pver
Slow Onset,35,0.735625,0.011308874,0.679,0.771,Pver
Slow Onset,38,0.703625,0.013927026,0.637,0.751,Pver
Slow Onset,40,0.728375,0.006346927,0.697,0.749,Pver
Slow Onset,45,0.71075,0.018948945,0.625,0.794,Pver
Slow Onset,48,0.658,0.010169984,0.597,0.695,Pver
Slow Onset,50,0.64675,0.010051208,0.595,0.681,Pver
Slow Onset,52,0.652625,0.012774049,0.589,0.692,Pver
Slow Onset,55,0.616625,0.015607848,0.544,0.669,Pver
Slow Onset,58,0.630875,0.015110826,0.555,0.689,Pver
Slow Onset,60,0.638375,0.013702108,0.583,0.688,Pver
Control,0,0.7055,0.013412414,0.641,0.759,Pdam
Control,2,0.73125,0.00875,0.7,0.77,Pdam
Control,4,0.69575,0.007719988,0.648,0.715,Pdam
Control,6,0.717875,0.007385888,0.686,0.75,Pdam
Control,8,0.73475,0.007773007,0.704,0.779,Pdam
Control,10,0.7225,0.005879747,0.696,0.741,Pdam
Control,12,0.721375,0.008310788,0.693,0.761,Pdam
Control,14,0.71675,0.007473166,0.68,0.744,Pdam
Control,16,0.695375,0.006611509,0.669,0.723,Pdam
Control,18,0.673375,0.007676349,0.629,0.696,Pdam
Control,20,0.713875,0.008659094,0.678,0.741,Pdam
Control,22,0.704625,0.008088655,0.671,0.75,Pdam
Control,25,0.695125,0.008574125,0.663,0.73,Pdam
Control,28,0.717375,0.008829612,0.689,0.755,Pdam
Control,30,0.718125,0.008771784,0.687,0.769,Pdam
Control,32,0.728875,0.008467243,0.704,0.769,Pdam
Control,35,0.707375,0.010499894,0.682,0.773,Pdam
Control,38,0.733,0.010133044,0.68,0.763,Pdam
Control,40,0.726375,0.010938036,0.687,0.768,Pdam
Fast Onset,0,0.674125,0.012017008,0.62,0.738,Pdam
Fast Onset,2,0.70125,0.008951756,0.65,0.73,Pdam
Fast Onset,4,0.699,0.002976095,0.691,0.71,Pdam
Fast Onset,6,0.716125,0.008982995,0.667,0.751,Pdam
Fast Onset,8,0.71725,0.007398721,0.685,0.749,Pdam
Fast Onset,10,0.684125,0.014692609,0.607,0.74,Pdam
Fast Onset,12,0.694625,0.018369168,0.571,0.735,Pdam
Fast Onset,14,0.7035,0.006403124,0.677,0.73,Pdam
Fast Onset,16,0.6915,0.00786266,0.662,0.719,Pdam
Fast Onset,18,0.671375,0.008898109,0.633,0.71,Pdam
Fast Onset,20,0.68075,0.006836744,0.648,0.698,Pdam
Fast Onset,22,0.678375,0.008514562,0.651,0.715,Pdam
Fast Onset,25,0.655125,0.012061505,0.595,0.688,Pdam
Fast Onset,28,0.653375,0.013344257,0.599,0.719,Pdam
Fast Onset,30,0.64175,0.019774397,0.547,0.713,Pdam
Fast Onset,32,0.638125,0.016477731,0.545,0.696,Pdam
Fast Onset,35,0.5785,0.030783228,0.396,0.679,Pdam
Fast Onset,38,0.5725,0.020900647,0.484,0.696,Pdam
Slow Onset,0,0.72175,0.013588007,0.672,0.793,Pdam
Slow Onset,2,0.71,0.009258201,0.66,0.74,Pdam
Slow Onset,4,0.704,0.005672616,0.681,0.734,Pdam
Slow Onset,6,0.709125,0.006004277,0.677,0.73,Pdam
Slow Onset,8,0.723625,0.010738678,0.675,0.761,Pdam
Slow Onset,10,0.695625,0.007889725,0.666,0.744,Pdam
Slow Onset,12,0.690875,0.011574969,0.651,0.74,Pdam
Slow Onset,14,0.70125,0.007617531,0.659,0.733,Pdam
Slow Onset,16,0.69275,0.011672235,0.626,0.733,Pdam
Slow Onset,18,0.66525,0.011165556,0.616,0.71,Pdam
Slow Onset,20,0.698375,0.007720422,0.654,0.728,Pdam
Slow Onset,22,0.691,0.005815619,0.67,0.713,Pdam
Slow Onset,25,0.667125,0.011691629,0.612,0.708,Pdam
Slow Onset,28,0.664375,0.016265583,0.59,0.722,Pdam
Slow Onset,30,0.6535,0.015165751,0.596,0.719,Pdam
Slow Onset,32,0.6645,0.017943363,0.613,0.757,Pdam
Slow Onset,35,0.64725,0.011658458,0.606,0.702,Pdam
Slow Onset,38,0.603625,0.02576954,0.456,0.676,Pdam
Slow Onset,40,0.58175,0.050070575,0.295,0.702,Pdam
