Coral ,Allocation,R,P,P_R,biomass,chla,zoox,chla_cell
D1_1,Control,0.144646419,0.502678583,1.737611568,3.463914035,4.666555795,1.208758201,1.608591566
D1_2,Slow onset,0.425891869,0.864970008,1.015480773,2.175431785,0.624640153,0.153023482,4.081988889
D1_3,Fast onset,0.279808509,0.764012847,1.365242339,2.492493442,1.40199484,0.258871762,5.415788997
D2_1,Slow onset,0.037711541,0.318511877,4.223002722,,,,
D2_3,Control,,,,4.846885705,5.133626889,1.63488534,2.962314309
D2_4,Fast onset,0.328423325,0.243148636,0.37017565,2.128973613,0.239408999,0.044737973,5.35136
D3_1,Fast onset,0.498322968,0.440548435,0.442031035,2.165659137,0.427812999,0.114268447,1.871964706
D3_3,Slow onset,0.182407982,0.236717839,0.648869189,1.58850033,0.269661024,0.060523373,1.937167702
D3_4,Control,0.165097337,0.478703101,1.449760212,3.447597857,5.870858958,1.561178416,0.989613274
D4_1,Control,0.24050532,0.627890354,1.305356475,2.982545311,2.674642239,0.513571432,2.603963218
D4_2,Slow onset,0.270987636,0.685388193,1.264611558,2.13500557,0.021150617,0.008020306,2.637133333
D4_3,Fast onset,,,,2.086106218,0.149820937,0.019656266,4.234469224
D5_1,Control,,,,2.562222832,2.42299279,0.777278794,1.558638168
D5_2,Slow onset,,,,2.077322151,0.391824088,0.115259741,1.133162617
D5_3,Fast onset,,,,1.972799693,0.132143811,0.019657091,6.72245
D6_1,Slow onset,0.40015073,0.805601241,1.00662223,1.953291756,0.8118818,0.17212327,2.35843125
D6_3,Control,0.084545341,0.706110437,4.175927538,2.276260994,3.568086104,0.912866532,2.791900943
D6_4,Fast onset,0.950787056,0.828066307,0.435463599,0.964556219,0.111556115,0.034321817,3.250297436
D7_1,Fast onset,0.52403025,0.549275121,0.524087227,2.268062292,0.762403297,0.19189494,3.310853751
D7_3,Slow onset,0.155007868,0.103442367,0.333668116,2.47181278,1.451343251,0.332275044,3.79817152
D7_4,Control,0.29248676,1.245196715,2.128637748,3.215305924,3.195744446,1.082147905,1.476574704
D8_1,Control,,,,2.26199656,2.5404933,0.587081369,2.163663704
D8_2,Slow onset,,,,1.50734122,0.283590523,0.066929201,4.237171795
D8_3,Fast onset,,,,2.096708944,0.630407946,0.081263503,6.464648148
